temperature,humidity,wind_speed,visibility,clouds,pressure,rain_1h,will_rain,comfort_level
10.6,95.6,18.3,6.03,15.6,989.4,4.33,1,0
23.1,73.7,0.51,9.7,83.2,992.7,0.92,1,2
6.7,57.2,10.8,2.98,61.2,988.4,1.83,1,0
15.1,80.7,4.99,5.19,59.2,982.8,0.0,0,1
-0.6,15.9,23.72,9.66,80.8,998.3,3.42,1,0
14.2,21.0,12.38,0.44,90.9,995.5,0.0,0,0
7.1,56.8,13.67,1.93,97.0,1026.5,0.0,0,0
39.2,63.8,23.05,0.98,19.6,982.7,1.94,1,0
4.9,84.6,8.92,2.88,54.3,988.5,0.0,0,0
-5.9,98.8,19.31,2.07,0.6,1028.9,0.0,0,0
30.1,79.4,1.85,3.65,11.6,1031.8,0.0,0,1
8.2,15.7,7.77,3.32,73.0,1018.3,0.0,0,0
16.0,20.8,17.83,7.63,56.1,1026.3,0.0,0,0
18.8,48.5,0.64,1.17,3.1,1018.2,0.0,0,2
18.0,91.7,6.23,4.16,75.6,993.7,1.45,1,0
-1.1,93.7,20.2,6.37,87.1,1028.2,4.46,1,0
19.7,82.7,22.4,3.25,11.0,993.7,4.09,1,0
37.3,10.6,12.77,4.23,22.2,987.2,0.0,0,0
41.9,39.1,12.97,7.06,36.4,1038.3,0.0,0,0
3.8,54.8,7.52,2.92,3.7,1016.6,0.0,0,1
-7.2,35.1,22.71,2.47,14.5,1009.4,0.0,0,0
3.3,70.5,19.04,2.45,72.8,1002.1,3.17,1,0
19.5,18.1,20.88,3.28,18.7,982.4,0.0,0,1
27.3,11.5,12.8,2.34,64.5,990.5,0.0,0,0
11.3,94.3,3.44,3.48,11.3,1035.5,0.0,0,1
4.2,69.4,20.43,5.6,53.0,994.5,4.49,1,0
39.5,67.0,8.48,3.56,72.6,1033.8,0.0,0,0
32.9,67.8,2.1,1.7,89.9,1016.4,0.51,1,0
26.5,10.5,4.02,5.53,69.2,1019.1,3.56,1,1
3.0,39.3,18.66,6.53,84.9,1019.5,0.0,0,1
-4.8,43.1,6.63,2.52,97.3,1003.6,0.0,0,0
24.7,81.5,12.57,5.81,49.3,991.7,0.0,0,1
5.4,12.2,16.14,1.85,94.0,1037.2,0.0,0,0
10.4,11.4,23.21,4.34,96.7,1037.8,0.0,0,0
6.2,44.7,21.28,3.24,16.9,1013.4,0.0,0,0
28.3,61.3,2.43,6.19,99.0,988.4,0.0,0,1
38.3,76.7,17.43,7.05,35.9,997.6,0.0,0,0
34.6,88.0,22.83,5.16,50.2,1027.9,0.0,0,0
28.6,81.6,22.25,3.45,37.6,985.6,0.0,0,0
-8.0,51.9,13.57,2.94,59.1,981.8,4.11,1,0
9.8,21.4,13.06,7.72,21.6,1017.4,0.0,0,0
-7.2,57.8,13.52,6.41,72.6,1038.6,0.0,0,0
7.8,81.6,6.77,4.45,7.8,981.5,0.0,0,0
36.0,72.6,10.22,1.82,15.6,995.0,3.57,1,0
26.3,35.2,23.87,7.41,55.4,1016.7,0.0,0,1
3.6,42.0,18.95,0.24,11.6,982.8,4.28,1,0
28.7,52.7,2.45,4.97,47.3,990.4,0.0,0,2
11.9,65.4,15.88,0.55,37.5,1017.6,0.0,0,1
37.1,69.3,4.07,0.8,64.2,981.6,4.7,1,0
21.7,44.9,16.08,4.64,54.6,1036.5,0.0,0,2
42.9,91.5,4.89,0.79,10.1,981.1,3.42,1,0
-6.1,38.7,21.12,0.33,81.4,996.9,3.48,1,0
24.6,89.0,18.38,8.05,28.2,990.6,0.0,0,1
34.4,99.1,10.32,3.78,77.6,1000.4,0.0,0,0
37.2,48.6,18.77,7.57,10.3,1034.2,0.0,0,1
35.5,38.8,22.39,3.95,1.1,1034.3,0.0,0,0
7.6,95.5,23.77,5.78,63.2,1006.9,1.64,1,0
27.0,77.7,19.79,7.92,9.1,1009.7,2.75,1,0
14.3,89.9,8.77,1.26,14.3,1025.7,0.0,0,1
-4.4,17.6,17.52,0.82,82.2,1022.4,0.42,1,0
44.3,43.7,9.27,8.15,94.7,1039.2,0.0,0,1
10.7,17.5,19.43,5.63,42.4,1034.4,0.0,0,0
17.1,11.0,11.72,0.66,11.9,987.1,0.0,0,0
31.0,62.5,24.05,3.81,28.6,1032.1,0.0,0,1
43.0,11.1,24.25,0.53,89.1,1011.7,0.0,0,0
-5.9,59.8,24.23,5.28,62.9,1021.7,0.0,0,0
24.5,62.6,22.53,0.55,28.1,1037.0,0.0,0,1
15.1,65.8,6.93,1.96,46.4,1001.2,0.0,0,1
-5.7,97.7,24.66,7.01,53.6,998.6,0.0,0,0
27.7,24.6,22.77,8.24,95.0,1023.5,0.0,0,0
13.0,93.9,21.65,0.55,2.6,1002.6,0.0,0,0
44.3,23.5,14.85,3.87,97.0,1030.5,0.0,0,0
15.8,47.3,6.84,0.66,86.5,1028.8,0.0,0,1
44.8,60.0,19.22,9.45,85.0,994.8,0.65,1,0
42.5,64.6,5.72,6.75,61.8,1001.5,3.36,1,0
18.6,79.5,13.0,8.54,55.2,1013.7,0.0,0,1
12.2,22.1,0.72,7.58,62.0,1022.2,0.68,1,1
-9.2,41.6,14.75,3.98,43.7,1034.2,0.0,0,0
18.3,80.5,9.91,6.26,86.2,1037.0,4.63,1,1
17.1,33.2,11.48,9.8,49.3,999.7,0.0,0,1
3.2,16.8,3.22,1.37,15.2,988.3,0.0,0,0
0.0,41.1,22.42,4.79,66.8,990.3,0.2,1,0
-0.7,35.1,4.43,0.98,12.1,1007.6,0.0,0,1
10.0,55.3,17.26,0.49,79.9,1017.7,4.37,1,1
40.6,15.5,6.92,8.08,74.8,991.1,1.85,1,0
16.6,65.6,9.22,4.68,74.7,982.2,3.57,1,1
39.2,56.1,13.3,1.16,44.7,1012.0,0.0,0,0
4.8,44.0,0.5,3.29,21.1,999.6,4.45,1,1
22.6,71.1,19.73,5.03,8.7,1012.2,0.0,0,1
31.0,48.8,3.19,2.91,36.3,1018.8,0.0,0,2
9.6,98.8,15.14,2.45,10.2,989.2,0.8,1,0
0.3,35.7,4.33,8.98,8.0,1011.5,0.0,0,1
44.0,20.1,9.95,9.7,86.6,1029.0,0.85,1,0
26.8,93.6,13.92,5.76,28.0,1026.2,1.62,1,0
13.4,55.7,6.06,1.24,61.1,997.3,0.77,1,1
16.5,57.9,1.3,3.43,13.4,983.8,0.0,0,2
7.7,82.9,6.37,6.85,76.0,1015.7,2.06,1,0
9.2,93.7,20.77,9.65,12.4,1023.9,0.0,0,0
-0.0,16.0,18.53,5.79,84.2,988.4,0.0,0,0
1.1,24.7,4.11,8.16,66.5,1011.4,0.0,0,1
38.2,45.3,20.41,4.45,37.7,1007.8,0.0,0,0
31.1,55.2,5.81,9.01,38.4,1012.6,0.0,0,2
24.3,20.5,23.5,6.31,33.5,988.4,0.0,0,1
24.1,58.0,22.35,7.91,15.2,998.7,0.0,0,2
30.9,13.0,14.25,7.65,87.7,1000.5,0.0,0,0
-3.9,86.2,3.19,4.03,79.7,989.0,3.61,1,0
29.6,67.7,17.35,5.47,25.2,1000.7,0.0,0,1
40.0,62.5,10.02,4.67,94.7,989.2,0.0,0,0
17.8,65.0,0.45,8.73,93.2,1013.9,0.0,0,2
40.7,73.7,3.81,5.81,60.7,1005.4,0.0,0,1
41.4,93.3,11.27,1.22,98.5,1030.3,4.6,1,0
37.8,56.7,14.78,4.05,5.5,1000.1,0.0,0,1
-9.7,40.0,9.95,5.42,92.0,1000.8,0.0,0,1
30.6,50.7,5.62,4.58,14.1,990.6,0.0,0,1
13.0,92.3,9.06,5.85,63.2,980.8,0.89,1,0
42.9,23.4,10.37,0.94,99.7,1010.1,0.0,0,0
-6.3,77.5,5.25,8.99,20.5,991.4,2.36,1,0
21.1,15.9,19.39,4.59,52.4,1006.4,0.0,0,1
20.8,24.0,4.55,8.63,94.6,1002.4,3.22,1,1
12.5,12.3,3.9,7.19,65.9,981.6,1.16,1,1
27.0,11.8,2.6,8.02,17.9,1019.2,0.0,0,1
-4.5,31.9,18.06,8.57,83.0,1003.8,0.0,0,0
1.3,36.4,22.41,0.23,8.6,992.5,0.91,1,0
22.1,47.9,22.32,8.19,34.2,995.6,0.0,0,2
22.5,34.1,15.6,4.15,55.2,1006.2,0.0,0,1
42.2,78.7,3.5,8.7,48.7,1033.7,0.0,0,0
13.4,12.0,6.72,5.46,63.3,995.5,4.17,1,0
44.1,57.3,4.29,2.8,1.8,1034.9,2.88,1,0
5.1,59.9,16.29,8.31,20.6,980.7,4.5,1,0
38.1,63.8,15.01,6.68,17.5,1034.9,0.0,0,0
11.1,56.7,1.17,1.75,73.8,985.0,1.23,1,1
11.4,36.0,8.89,7.22,29.7,1014.0,0.0,0,1
26.5,94.3,18.31,2.23,3.1,995.7,0.26,1,0
17.3,63.7,8.36,7.73,10.7,984.5,0.0,0,1
17.3,72.0,10.87,2.54,81.9,1028.0,1.36,1,0
22.5,42.5,2.29,9.18,13.7,1037.0,0.0,0,2
0.2,58.8,21.82,7.35,80.7,1019.5,0.0,0,1
36.7,32.5,12.24,2.29,98.8,1036.6,3.53,1,0
40.9,26.3,14.2,9.16,3.4,1021.8,0.0,0,0
40.8,97.4,23.61,4.79,86.2,1030.7,4.14,1,0
-8.0,63.7,5.75,1.29,7.7,1021.8,0.0,0,0
29.9,15.9,7.88,5.44,79.1,999.1,0.0,0,1
38.7,65.4,5.82,0.34,87.0,981.3,0.0,0,0
19.1,94.5,19.97,9.98,35.1,1026.0,0.0,0,1
16.4,66.5,21.84,9.84,76.8,1005.1,0.0,0,1
30.6,31.5,2.76,3.61,28.7,997.8,0.0,0,1
-7.7,11.6,24.69,4.33,38.4,1020.8,0.0,0,0
42.2,80.8,2.24,4.23,87.9,1036.7,3.07,1,0
-0.8,99.2,5.79,9.43,65.0,1016.5,1.15,1,0
-0.3,29.8,4.66,7.82,35.0,983.5,0.0,0,1
38.6,93.5,24.87,1.82,39.6,1025.5,0.0,0,0
-1.5,83.4,5.61,2.32,53.7,1015.6,0.0,0,0
-5.0,89.0,6.64,1.38,88.9,1037.3,0.0,0,0
34.5,69.0,13.77,0.96,40.8,1002.4,0.0,0,0
29.8,54.6,2.03,2.28,68.3,984.6,0.0,0,2
17.2,53.3,14.81,8.26,34.8,1020.7,0.0,0,1
4.7,89.1,19.94,6.62,85.1,1032.0,0.0,0,0
36.0,72.8,17.0,6.22,75.3,989.5,0.0,0,0
38.0,12.6,20.65,1.38,33.5,1024.6,0.0,0,0
35.0,84.9,12.69,0.16,28.7,1017.0,0.0,0,0
24.7,33.4,15.85,5.45,78.0,986.4,0.0,0,1
19.8,96.7,8.55,6.36,93.2,986.2,0.0,0,1
27.8,16.1,7.52,7.11,6.7,1014.9,0.0,0,1
24.2,14.1,21.79,9.74,96.9,1025.0,3.79,1,1
-8.6,12.0,8.09,4.94,77.0,1021.0,0.0,0,0
5.0,99.7,10.65,4.57,16.4,1027.7,0.0,0,0
2.1,17.4,17.01,6.58,27.3,1037.1,0.0,0,0
13.8,94.9,10.49,6.42,39.8,996.5,0.0,0,0
12.5,90.5,5.75,2.21,3.1,1019.1,4.32,1,0
16.0,97.1,4.64,8.7,77.7,1026.3,0.0,0,1
31.9,66.4,3.28,0.42,92.1,1017.0,0.0,0,1
